Make,Price,Color,Fuel Type,Car Origin,Car License,Transmission Type,Glass,Engine Power,Mileage,Payment Method,Available,Previous Owners,Air Conditioner,Central Locking,Alarm System,CD Player,Sunroof,Alloy Wheels,Leather Seats,Airbag,Passenger Count,age
كيا,44000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,183000.0,إمكانية التقسيط,للبيع فقط,1.0,1,1,1,1,0,0,1,1,,15
هونداي,58000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,42000.0,نقدا فقط,للبيع أو التبديل,1.0,1,1,1,0,0,1,1,1,4.0,10
بيجو,40000,أسود,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2000,85000.0,إمكانية التقسيط,للبيع فقط,2.0,1,1,1,1,1,1,1,1,4.0,10
سكودا,70000,أزرق,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,30000.0,إمكانية التقسيط,للبيع أو التبديل,3.0,1,1,1,1,0,1,1,1,4.0,13
سوبارو,33000,رصاصي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,نقدا فقط,للبيع فقط,,1,1,1,1,0,1,0,1,4.0,24
سيت,78000,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,105.0,نقدا فقط,للبيع فقط,3.0,1,1,1,1,0,1,1,1,4.0,6
اودي,18000,برتقالي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,,نقدا فقط,للبيع فقط,,0,1,0,1,0,1,0,0,4.0,38
هونداي,30000,أحمر,بنزين,خصوصي,فلسطينية,عادي,الكتروني,2000,,إمكانية التقسيط,للبيع أو التبديل,,1,1,1,1,1,1,1,1,4.0,24
فولكسفاجن,60000,أصفر,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,50000.0,إمكانية التقسيط,للبيع أو التبديل,3.0,0,0,0,0,0,1,1,0,5.0,44
فولكسفاجن,70000,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,180000.0,إمكانية التقسيط,للبيع فقط,,1,1,0,1,0,1,0,1,4.0,13
Dodge,125000,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,6700,120000.0,إمكانية التقسيط,للبيع أو التبديل,1.0,1,1,1,1,0,1,1,1,4.0,8
سيت,25000,أزرق,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,14.0,إمكانية التقسيط,للبيع أو التبديل,4.0,1,1,1,1,0,0,1,1,4.0,22
هونداي,32000,ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,220000.0,إمكانية التقسيط,للبيع فقط,6.0,1,0,0,0,0,0,0,0,4.0,16
سكودا,42000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,,نقدا فقط,للبيع أو التبديل,,1,1,0,1,0,1,0,1,4.0,18
بيجو,39500,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,100000.0,إمكانية التقسيط,للبيع فقط,2.0,1,1,1,1,0,1,0,1,4.0,7
سكودا,78000,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,14000.0,إمكانية التقسيط,للبيع أو التبديل,2.0,1,1,1,1,0,1,0,1,4.0,6
سكودا,25000,أبيض,ديزل,خصوصي,فلسطينية,عادي,يدوي,1600,,نقدا فقط,للبيع فقط,3.0,1,0,0,1,0,0,0,1,2.0,23
فولكسفاجن,155000,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,48000.0,إمكانية التقسيط,للبيع فقط,1.0,1,1,1,1,1,1,1,1,4.0,6
بيجو,23000,خمري,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,120.0,نقدا فقط,للبيع فقط,4.0,1,1,1,1,1,1,1,1,4.0,15
هونداي,95000,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,69000.0,إمكانية التقسيط,للبيع أو التبديل,1.0,1,1,1,1,0,1,1,1,4.0,10
مرسيدس,175000,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2500,30000.0,نقدا فقط,للبيع فقط,0.0,1,1,1,1,1,1,1,1,,8
مرسيدس,65300,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,129100.0,نقدا فقط,للبيع فقط,3.0,1,1,1,1,1,1,1,1,4.0,18
بيجو,13000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,5000000.0,نقدا فقط,للبيع أو التبديل,5.0,0,0,0,1,0,0,0,0,4.0,25
كيا,90000,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,150000.0,نقدا فقط,للبيع فقط,1.0,1,1,1,1,0,1,1,1,4.0,9
كيا,85000,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,نقدا فقط,للبيع فقط,,1,1,1,1,1,1,1,1,4.0,8
اوبل,25000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,75000.0,إمكانية التقسيط,للبيع فقط,4.0,0,0,0,1,0,1,0,0,4.0,26
سوبارو,10000,أبيض عاجي,بنزين,تأجير,فلسطينية,عادي,يدوي,1600,,نقدا فقط,للبيع فقط,11.0,0,0,0,0,0,0,0,0,4.0,39
سكودا,36500,أسود ميتالك,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,نقدا فقط,للبيع فقط,,0,0,1,1,0,0,1,0,4.0,14
فولكسفاجن,63000,رمادي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,57.0,نقدا فقط,للبيع فقط,1.0,1,1,0,1,0,1,0,1,4.0,7
بيجو,47000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1690,0.0,إمكانية التقسيط,للبيع فقط,,1,1,1,1,1,1,1,1,4.0,15
هونداي,48000,ذهبي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,نقدا فقط,للبيع فقط,1.0,1,1,0,1,1,1,1,1,4.0,17
هونداي,90000,فيراني,ديزل,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2000,30000.0,نقدا فقط,للبيع فقط,1.0,1,1,1,1,0,1,1,1,4.0,9
سكودا,98000,أبيض عاجي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,25000.0,نقدا فقط,للبيع فقط,2.0,1,0,1,1,1,1,0,0,4.0,9
هونداي,50000,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,100000.0,إمكانية التقسيط,للبيع أو التبديل,2.0,1,1,0,0,0,1,1,1,4.0,10
هونداي,95000,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,180000.0,نقدا فقط,للبيع أو التبديل,2.0,1,1,1,1,1,1,1,1,,9
سكودا,115000,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,نقدا فقط,للبيع أو التبديل,1.0,1,1,1,1,1,1,1,1,4.0,8
كيا,60000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,78000.0,إمكانية التقسيط,للبيع أو التبديل,3.0,1,1,1,1,0,1,1,1,4.0,8
شفروليه,27000,أخضر,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,نقدا فقط,للبيع فقط,2.0,1,1,1,1,0,0,0,1,4.0,15
فولكسفاجن,24000,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,2500,120000.0,إمكانية التقسيط,للبيع أو التبديل,2.0,1,1,1,1,1,1,1,1,8.0,20
بيجو,35000,سكني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,120000.0,نقدا فقط,للبيع أو التبديل,2.0,1,1,1,1,0,0,1,0,4.0,15
هونداي,86000,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,نقدا فقط,للبيع فقط,2.0,1,1,1,1,0,1,1,1,4.0,6
سوبارو,19000,أحمر,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,,إمكانية التقسيط,للبيع فقط,,1,0,0,1,0,1,1,1,4.0,37
سيت,68000,أحمر,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,7000.0,إمكانية التقسيط,للبيع فقط,1.0,1,1,1,1,0,1,1,1,4.0,6
فورد,39000,أزرق,بنزين,حكومي,فلسطينية,اوتوماتيك,الكتروني,2000,,نقدا فقط,للبيع فقط,,1,1,1,1,1,1,0,1,4.0,14
سيت,45000,عدة الوان,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,نقدا فقط,للبيع فقط,,1,1,1,1,0,1,0,1,4.0,13
هونداي,56000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,58.0,نقدا فقط,للبيع فقط,1.0,1,1,1,1,0,1,1,1,,9
فولكسفاجن,58000,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,127000.0,إمكانية التقسيط,للبيع أو التبديل,2.0,1,1,1,1,0,0,1,1,4.0,12
فولكسفاجن,95000,أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,إمكانية التقسيط,للبيع أو التبديل,,1,1,1,1,1,1,0,1,4.0,12
سكودا,100000,أزرق,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,30000.0,نقدا فقط,للبيع فقط,1.0,1,1,1,0,1,1,1,1,4.0,9
اوبل,60000,سكني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,70000.0,إمكانية التقسيط,للبيع فقط,2.0,1,1,0,1,1,1,0,1,4.0,6
فولفو,230000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2800,15000.0,إمكانية التقسيط,للبيع أو التبديل,2.0,1,0,1,1,0,0,0,0,1.0,16
كيا,68000,بترولي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,4700.0,إمكانية التقسيط,للبيع فقط,,1,1,1,1,1,1,1,1,4.0,7
اوبل,50000,رمادي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,نقدا فقط,للبيع فقط,1.0,1,1,1,1,0,1,1,1,4.0,10
سكودا,110000,كحلي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,60000.0,إمكانية التقسيط,للبيع فقط,1.0,1,1,1,1,1,1,0,1,4.0,7
ستروين,62000,أحمر,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,84000.0,نقدا فقط,للبيع أو التبديل,1.0,1,1,0,1,0,1,0,1,4.0,10
هونداي,38000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,18000.0,نقدا فقط,للبيع فقط,,1,1,1,1,0,1,1,1,,15
جييب,60000,فضي,ديزل,خصوصي,فلسطينية,عادي,يدوي,2500,,نقدا فقط,للبيع أو التبديل,2.0,1,1,1,1,0,0,1,0,6.0,18
ستروين,75000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,45000.0,إمكانية التقسيط,للبيع أو التبديل,1.0,1,1,0,1,0,0,1,1,4.0,8
هونداي,63000,رمادي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,,نقدا فقط,للبيع فقط,2.0,1,1,1,1,0,1,1,1,4.0,7
فولكسفاجن,68000,فضي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,297000.0,إمكانية التقسيط,للبيع فقط,3.0,1,1,1,1,0,1,1,1,,12
فولكسفاجن,120000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,70000.0,نقدا فقط,للبيع فقط,1.0,1,1,1,1,1,1,1,1,4.0,7
اودي,83000,زيتي,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,1800,,نقدا فقط,للبيع أو التبديل,1.0,1,1,1,1,1,1,0,1,4.0,13
هونداي,109999,بترولي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,65000.0,نقدا فقط,للبيع أو التبديل,2.0,1,1,1,1,1,1,1,1,4.0,8
بيجو,37000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,إمكانية التقسيط,للبيع أو التبديل,,1,0,0,1,1,1,1,0,4.0,16
تويوتا,350000,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3000,,إمكانية التقسيط,للبيع فقط,0.0,1,1,1,1,1,1,1,1,6.0,9
هونداي,24000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1500,280000.0,نقدا فقط,للبيع أو التبديل,,1,1,0,0,0,0,0,0,4.0,18
هونداي,115000,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,115000.0,نقدا فقط,للبيع فقط,2.0,1,1,1,0,1,1,1,1,4.0,8
سكودا,170000,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,124.0,نقدا فقط,للبيع فقط,0.0,1,1,1,1,0,1,1,1,6.0,5
فولكسفاجن,100000,أسود,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,نقدا فقط,للبيع فقط,0.0,1,0,0,1,0,0,0,0,6.0,8
هونداي,45000,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,160000.0,نقدا فقط,للبيع فقط,3.0,1,1,1,1,1,1,1,1,4.0,16
كيا,45000,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2500,0.0,نقدا فقط,للبيع فقط,5.0,1,1,1,1,1,1,1,1,6.0,16
هونداي,65000,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,65000.0,نقدا فقط,للبيع فقط,1.0,1,1,1,1,1,1,1,1,4.0,9
كيا,68000,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,130000.0,نقدا فقط,للبيع فقط,3.0,1,1,1,1,1,1,1,1,4.0,9
بيجو,80000,أسود,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,160000.0,إمكانية التقسيط,للبيع أو التبديل,1.0,1,1,1,1,0,1,1,1,6.0,9
فولكسفاجن,10000,أبيض عاجي,ديزل,تجاري,فلسطينية,عادي,الكتروني,2500,75000.0,إمكانية التقسيط,للبيع أو التبديل,1.0,1,1,1,1,0,0,0,1,5.0,11
فولكسفاجن,60000,فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,70000.0,نقدا فقط,للبيع أو التبديل,1.0,1,1,0,0,0,0,0,1,4.0,9
سكودا,58000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,0.0,نقدا فقط,للبيع فقط,,1,0,1,0,0,0,0,0,4.0,10
فولكسفاجن,20000,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1900,200000.0,نقدا فقط,للبيع فقط,3.0,0,0,0,1,0,1,0,0,4.0,23
فولكسفاجن,40000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,,نقدا فقط,للبيع أو التبديل,1.0,0,0,0,0,0,0,0,0,4.0,16
اوبل,42000,أزرق سماوي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,95000.0,نقدا فقط,للبيع أو التبديل,3.0,1,1,1,1,0,0,0,1,4.0,18
فولكسفاجن,37000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,200000.0,إمكانية التقسيط,للبيع فقط,,1,1,1,1,0,1,0,0,4.0,21
كيا,65000,بيج,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,نقدا فقط,للبيع أو التبديل,1.0,1,1,1,0,0,0,1,1,4.0,8
كيا,44999,رمادي,بنزين,تأجير,فلسطينية,نصف اوتوماتيك,الكتروني,1600,140.0,نقدا فقط,للبيع أو التبديل,2.0,1,1,0,0,0,1,0,0,4.0,12
فولكسفاجن,25000,أحمر,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,,إمكانية التقسيط,للبيع أو التبديل,3.0,1,1,1,1,1,1,1,1,4.0,24
