Make,Color,Fuel Type,Car Origin,Car License,Transmission Type,Glass,Engine Power,Mileage,Payment Method,Available,Previous Owners,Air Conditioner,Central Locking,Alarm System,CD Player,Sunroof,Alloy Wheels,Leather Seats,Airbag,Passenger Count,age,Price
كيا,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,183000.0,إمكانية التقسيط,للبيع فقط,1,1,1,1,1,0,0,1,1,4,15.0,44000
هونداي,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,42000.0,نقدا فقط,للبيع أو التبديل,1,1,1,1,0,0,1,1,1,4,10.0,58000
بيجو,أسود,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2000,85000.0,إمكانية التقسيط,للبيع فقط,2,1,1,1,1,1,1,1,1,4,10.0,40000
سكودا,أزرق,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,30000.0,إمكانية التقسيط,للبيع أو التبديل,3,1,1,1,1,0,1,1,1,4,13.0,70000
سوبارو,رصاصي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,41238.2,نقدا فقط,للبيع فقط,2,1,1,1,1,0,1,0,1,4,24.0,33000
سيت,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,105.0,نقدا فقط,للبيع فقط,3,1,1,1,1,0,1,1,1,4,6.0,78000
اودي,برتقالي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,53467.0,نقدا فقط,للبيع فقط,3,0,1,0,1,0,1,0,0,4,38.0,18000
هونداي,أحمر,بنزين,خصوصي,فلسطينية,عادي,الكتروني,2000,41238.2,إمكانية التقسيط,للبيع أو التبديل,2,1,1,1,1,1,1,1,1,4,24.0,30000
فولكسفاجن,أصفر,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,50000.0,إمكانية التقسيط,للبيع أو التبديل,3,0,0,0,0,0,1,1,0,5,44.0,60000
فولكسفاجن,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,180000.0,إمكانية التقسيط,للبيع فقط,2,1,1,0,1,0,1,0,1,4,13.0,70000
دودج,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,6700,120000.0,إمكانية التقسيط,للبيع أو التبديل,1,1,1,1,1,0,1,1,1,4,8.0,125000
سيت,أزرق,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,14.0,إمكانية التقسيط,للبيع أو التبديل,4,1,1,1,1,0,0,1,1,4,22.0,25000
هونداي,ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,220000.0,إمكانية التقسيط,للبيع فقط,6,1,0,0,0,0,0,0,0,4,16.0,32000
سكودا,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,108060.0,نقدا فقط,للبيع أو التبديل,3,1,1,0,1,0,1,0,1,4,18.0,42000
بيجو,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,100000.0,إمكانية التقسيط,للبيع فقط,2,1,1,1,1,0,1,0,1,4,7.0,39500
سكودا,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,14000.0,إمكانية التقسيط,للبيع أو التبديل,2,1,1,1,1,0,1,0,1,4,6.0,78000
سكودا,أبيض,ديزل,خصوصي,فلسطينية,عادي,يدوي,1600,147891.0,نقدا فقط,للبيع فقط,3,1,0,0,1,0,0,0,1,2,23.0,25000
فولكسفاجن,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,48000.0,إمكانية التقسيط,للبيع فقط,1,1,1,1,1,1,1,1,1,4,6.0,155000
بيجو,خمري,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,120.0,نقدا فقط,للبيع فقط,4,1,1,1,1,1,1,1,1,4,15.0,23000
هونداي,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,69000.0,إمكانية التقسيط,للبيع أو التبديل,1,1,1,1,1,0,1,1,1,4,10.0,95000
مرسيدس,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2500,30000.0,نقدا فقط,للبيع فقط,0,1,1,1,1,1,1,1,1,4,8.0,175000
مرسيدس,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,129100.0,نقدا فقط,للبيع فقط,3,1,1,1,1,1,1,1,1,4,18.0,65300
بيجو,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,150391.6,نقدا فقط,للبيع أو التبديل,5,0,0,0,1,0,0,0,0,4,25.0,13000
كيا,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,150000.0,نقدا فقط,للبيع فقط,1,1,1,1,1,0,1,1,1,4,9.0,90000
كيا,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,72412.0,نقدا فقط,للبيع فقط,1,1,1,1,1,1,1,1,1,4,8.0,85000
اوبل,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,75000.0,إمكانية التقسيط,للبيع فقط,4,0,0,0,1,0,1,0,0,4,26.0,25000
سوبارو,أبيض عاجي,بنزين,تأجير,فلسطينية,عادي,يدوي,1600,87800.0,نقدا فقط,للبيع فقط,11,0,0,0,0,0,0,0,0,4,39.0,10000
سكودا,أسود ميتالك,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,70501.0,نقدا فقط,للبيع فقط,2,0,0,1,1,0,0,1,0,4,14.0,36500
فولكسفاجن,رمادي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,57.0,نقدا فقط,للبيع فقط,1,1,1,0,1,0,1,0,1,4,7.0,63000
بيجو,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1690,123850.0,إمكانية التقسيط,للبيع فقط,2,1,1,1,1,1,1,1,1,4,15.0,47000
هونداي,ذهبي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,186800.0,نقدا فقط,للبيع فقط,1,1,1,0,1,1,1,1,1,4,17.0,48000
هونداي,فيراني,ديزل,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2000,30000.0,نقدا فقط,للبيع فقط,1,1,1,1,1,0,1,1,1,4,9.0,90000
سكودا,أبيض عاجي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,25000.0,نقدا فقط,للبيع فقط,2,1,0,1,1,1,1,0,0,4,9.0,98000
هونداي,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,100000.0,إمكانية التقسيط,للبيع أو التبديل,2,1,1,0,0,0,1,1,1,4,10.0,50000
هونداي,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,180000.0,نقدا فقط,للبيع أو التبديل,2,1,1,1,1,1,1,1,1,4,9.0,95000
سكودا,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,72412.0,نقدا فقط,للبيع أو التبديل,1,1,1,1,1,1,1,1,1,4,8.0,115000
كيا,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,78000.0,إمكانية التقسيط,للبيع أو التبديل,3,1,1,1,1,0,1,1,1,4,8.0,60000
