Make,Year,Price,Color,Fuel Type,Car Origin,Car License,Transmission Type,Glass,Engine Power,Mileage,Payment Method,Available,Previous Owners,Additions,Air Conditioner,Central Locking,Alarm System,CD Player,Sunroof,Alloy Wheels,Leather Seats,Airbag,Passenger Count,Drive Type
كيا برايد,2008,44000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,١٨٣٠٠٠,إمكانية التقسيط,للبيع فقط,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,0,1,1,,
هونداي اكسنت,2013,58000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,42000,نقدا فقط,للبيع أو التبديل,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,0,0,1,1,1,4+1,
بيجو 508,2013,40000,أسود,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2000,85000,إمكانية التقسيط,للبيع فقط,يد ثانيه,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,
سكودا اوكتافيا,2010,70000,أزرق,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,30000,إمكانية التقسيط,للبيع أو التبديل,3,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,4+1,
سوبارو امبريزا,1999,33000,رصاصي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,0,1,0,1,4+1,
سيت ليون,2017,78000,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,105,نقدا فقط,للبيع فقط,ثالثه,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,4+1,
مرسيدس 220,1999,50000,خمري,ديزل,عمومي,فلسطينية,اوتوماتيك,الكتروني,2200,,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,,
اودي 80,1985,18000,برتقالي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,,نقدا فقط,للبيع فقط,,"إغلاق مركزي
مسجل CD
جنطات مغنيسيوم",0,1,0,1,0,1,0,0,4+1,
هونداي كوبيه,1999,30000,أحمر,بنزين,خصوصي,فلسطينية,عادي,الكتروني,2000,,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,
فولكسفاجن كبينة,1979,60000,أصفر,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,50000,إمكانية التقسيط,للبيع أو التبديل,٣,"جنطات مغنيسيوم
فرش جلد",0,0,0,0,0,1,1,0,5+1,دفع أمامي
فولكسفاجن جولف,2010,70000,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,180000,إمكانية التقسيط,للبيع فقط,,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,0,1,0,1,0,1,4+1,
Dodge رام,2015,125000,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,6700,120000,إمكانية التقسيط,للبيع أو التبديل,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,4+1,دفع رباعي 4x4
سيت قرطبة,2001,25000,أزرق,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,0000014,إمكانية التقسيط,للبيع أو التبديل,٤,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,0,1,1,4+١,
هونداي جيتس,2007,32000,ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,220000,إمكانية التقسيط,للبيع فقط,6,مُكيّف,1,0,0,0,0,0,0,0,4+1,
سكودا اوكتافيا,2005,42000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,,نقدا فقط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,0,1,0,1,0,1,4+1,
بيجو 208,2016,39500,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,100 الف,إمكانية التقسيط,للبيع فقط,يد ثانية,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,0,1,0,1,4+1,
سكودا رابيد,2017,78000,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,١٤٠٠٠,إمكانية التقسيط,للبيع أو التبديل,٢,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,0,1,0,1,4+1,
سكودا فيليسيا,2000,25000,أبيض,ديزل,خصوصي,فلسطينية,عادي,يدوي,1600,,نقدا فقط,للبيع فقط,3,"مُكيّف
مسجل CD
وسادة حماية هوائية",1,0,0,1,0,0,0,1,2,
فولكسفاجن تيجوان,2017,155000,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,48000,إمكانية التقسيط,للبيع فقط,اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,
بيجو 207,2008,23000,خمري,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,120,نقدا فقط,للبيع فقط,٤,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,دفع أمامي
هونداي توسان,2012,68000,رصاصي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,,
هونداي توسان,2013,95000,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,69000,إمكانية التقسيط,للبيع أو التبديل,اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,4+1,
مرسيدس C250,2015,175000,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2500,30000,نقدا فقط,للبيع فقط,0,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,,
مرسيدس E220,2005,65300,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,129100,نقدا فقط,للبيع فقط,3,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,
بيجو 306,1998,13000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,5000000,نقدا فقط,للبيع أو التبديل,يد 5,مسجل CD,0,0,0,1,0,0,0,0,4+1,دفع خلفي
كيا سبورتاج,2014,90000,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,150000,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,4+1,
